HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
0.422521,0.432614,0.201427,0.563634,0.156546,0.239478,0.173701,0.261313,0.059537,0.221331,0.562578,0.333988,0.125144,0.204681,0,0,0.532468,0.5125,B
0.397031,0.537037,0.19906,0.683622,0.110037,0.205403,0.111893,0.306774,0.073478,0.269584,0.687638,0.412571,0.205093,0.294746,0,0,0.532468,0.5125,C
0.460401,0.61516,0.086897,0.719658,0.187829,0.278016,0.29806,0.490904,0.102545,0.499488,0.720147,0.303251,0.100689,0.543082,0,0,0.532468,0.5125,C
0.77928,0.832885,0.263925,1,0.083349,0.265319,0.29806,0.550581,0.269736,0.377084,1,0.775264,0.390306,0.8579,0,0,0.532468,0.5125,C
0.760059,1,0.210926,0.990071,0.12902,0.279217,0.131024,0.595626,0.2543,0.46147,0.99294,0.801419,0.283171,0.980381,0,0,0.532468,0.5125,C
0.499184,0.89055,0.067531,0.864659,0.091642,0.234843,0.247298,0.483798,0.107997,0.370139,0.870656,0.3993,0.078535,0.681375,0,0,0.532468,0.5125,C
0.798245,0.873114,0.175027,0.668237,0.099596,0.2683,0.131024,0.493863,0.31117,0.409047,0.682777,0.622134,0.594646,0.7589,0,0,0.532468,0.5125,C
0.033759,0.055416,0.104363,0.064015,0.91083,0,0.128825,0.13114,0.003317,0,0.063685,0.024358,0.097189,0.011103,0,0,0.532468,0.5125,A
0.179334,0.212687,0.190127,0.244956,0.160513,0.148842,0.247298,0.136833,0.015123,0.090362,0.246526,0.155811,0.069116,0.051096,0,0,0.532468,0.5125,A
0.293987,0.12773,0.568848,0.154882,0.629125,0.483017,0.500829,0.287858,0.053857,0.130351,0.155611,0.21467,0.123916,0.069008,0,0,0.532468,0.5125,A
0.676602,0.904747,0.131562,0.810557,0.154653,0.320025,0.378169,0.493992,0.183178,0.372518,0.813501,0.548133,0.221618,0.522392,0,0,0.532468,0.5125,C
0.010256,0.020665,0.169561,0.027471,0.22902,0,0.213459,0.018171,0.000138,0,0.027406,0.009522,0.004164,0.001053,0,0,0.532468,0.5125,A
